ORIGEM;DESTINO;PARTIDA;CHEGADA;DURAÇÃO;;
KMCO;SBFZ;15:25;23:20;07:55;;
KMCO;SBEG;16:55;22:45;05:50;;
KMIA;SBFZ;15:30;22:55;07:25;;
KMIA;SBBR;11:45;19:30;07:45;;
KMIA;SBFZ;15:30;22:40;07:10;;
SABE;SBGR;11:35;14:35;03:00;;
SABE;SBGR;13:35;16:35;03:00;;
SABE;SBGR;18:05;21:05;03:00;;
SABE;SBFL;20:20;22:30;02:10;;
SABE;SBGR;13:35;16:30;02:55;;
SABE;SBFL;20:20;22:10;01:50;;
SABE;SBFL;16:20;18:20;02:00;;
SABE;SBGR;18:15;21:10;02:55;;
SABE;SBGR;13:35;16:20;02:45;;
SAEZ;SBGR;08:25;11:35;03:10;;
SAEZ;SBGL;12:20;15:15;02:55;;
SAEZ;SBCF;14:05;17:25;03:20;;
SAEZ;SKBO;16:55;23:28;06:33;;
SAEZ;SBGL;18:40;21:40;03:00;;
SAEZ;SBSV;08:35;13:00;04:25;;
SAEZ;SBMO;10:30;15:25;04:55;;
SAEZ;SBGL;12:20;15:20;03:00;;
SAEZ;SBFL;16:35;18:45;02:10;;
SAEZ;SBMO;19:10;23:55;04:45;;
SAEZ;SBFL;22:45;00:45;02:00;;
SAEZ;SBFZ;04:50;10:25;05:35;;
SAEZ;SBFL;10:40;12:50;02:10;;
SAEZ;SBPS;16:40;20:30;03:50;;
SAEZ;SBGL;18:40;21:35;02:55;;
SAEZ;SBGL;15:30;18:30;03:00;;
SAEZ;SBFZ;17:00;22:45;05:45;;
SAEZ;SBFL;16:25;18:35;02:10;;
SAEZ;SBFL;22:55;00:55;02:00;;
SAEZ;SBFZ;04:40;10:25;05:45;;
SAEZ;SBFL;05:20;07:30;02:10;;
SAME;SBGR;14:20;17:20;03:00;;
SAME;SBGR;14:45;18:00;03:15;;
SAME;SBGR;15:50;19:05;03:15;;
SAME;SBGR;14:20;17:35;03:15;;
SAME;SBGR;14:20;17:30;03:10;;
SBAR;SBGL;11:15;13:40;02:25;;
SBAR;SBGR;13:20;16:00;02:40;;
SBAR;SBGR;17:30;20:15;02:45;;
SBAR;SBSP;09:35;12:30;02:55;;
SBAR;SBGL;16:40;19:00;02:20;;
SBAR;SBSP;09:40;12:35;02:55;;
SBAR;SBSP;12:05;15:00;02:55;;
SBAR;SBGR;12:40;15:20;02:40;;
SBAR;SBGR;17:40;20:25;02:45;;
SBAR;SBSP;09:30;12:25;02:55;;
SBAR;SBGL;11:05;13:30;02:25;;
SBAR;SBSP;12:00;14:55;02:55;;
SBAR;SBGL;11:10;13:35;02:25;;
SBAU;SBSP;13:45;14:55;01:10;;
SBBE;SBMQ;12:45;13:45;01:00;;
SBBE;SBBR;16:50;19:30;02:40;;
SBBE;SBGR;04:15;07:50;03:35;;
SBBE;SBEG;22:35;00:35;02:00;;
SBBE;SBEG;20:20;22:30;02:10;;
SBBE;SMJP;12:30;14:25;01:55;;
SBBE;SBBR;18:20;21:00;02:40;;
SBBE;SBGR;04:10;07:45;03:35;;
SBBE;SBGR;04:05;07:50;03:45;;
SBBE;SBGR;04:00;07:45;03:45;;
SBBE;SBBR;05:00;07:35;02:35;;
SBBR;SBGL;06:00;07:50;01:50;;
SBBR;SBSL;08:35;11:05;02:30;;
SBBR;SBSG;08:40;11:25;02:45;;
SBBR;SBRB;08:45;12:05;03:20;;
SBBR;SBMO;08:55;11:20;02:25;;
SBBR;SBSP;08:55;10:50;01:55;;
SBBR;SBSV;09:00;10:55;01:55;;
SBBR;SBVT;09:05;10:55;01:50;;
SBBR;SBBE;09:25;12:05;02:40;;
SBBR;SBSP;09:25;11:15;01:50;;
SBBR;SBGO;09:35;10:30;00:55;;
SBBR;KMCO;09:40;18:00;08:20;;
SBBR;KMIA;10:00;17:55;07:55;;
SBBR;SBSV;12:10;14:10;02:00;;
SBBR;SBRJ;12:25;14:10;01:45;;
SBBR;KMCO;12:55;21:15;08:20;;
SBBR;SBRF;13:20;16:05;02:45;;
SBBR;SBSP;17:00;18:50;01:50;;
SBBR;SBGL;17:25;19:10;01:45;;
SBBR;SBRJ;17:50;19:35;01:45;;
SBBR;SBGR;18:30;20:25;01:55;;
SBBR;SBSP;20:05;21:55;01:50;;
SBBR;SBSV;20:20;22:10;01:50;;
SBBR;SBRJ;20:30;22:20;01:50;;
SBBR;SBSP;20:35;22:25;01:50;;
SBBR;SBFZ;20:40;23:15;02:35;;
SBBR;SBGR;20:40;22:35;01:55;;
SBBR;SBPV;20:40;23:35;02:55;;
SBBR;SBSV;20:50;22:50;02:00;;
SBBR;SBRF;20:55;23:35;02:40;;
SBBR;SBKP;21:00;22:45;01:45;;
SBBR;SBPA;21:00;23:45;02:45;;
SBBR;SBBE;21:15;23:50;02:35;;
SBBR;SBCT;21:15;23:15;02:00;;
SBBR;SBCY;21:30;23:25;01:55;;
SBBR;SBGL;06:20;08:10;01:50;;
SBBR;SBRJ;07:00;08:50;01:50;;
SBBR;SBSP;07:15;09:05;01:50;;
SBBR;SBPA;08:45;11:30;02:45;;
SBBR;SBEG;08:50;12:05;03:15;;
SBBR;SBFZ;08:50;11:25;02:35;;
SBBR;SBJP;08:50;11:35;02:45;;
SBBR;SBRJ;08:55;10:45;01:50;;
SBBR;SBRF;09:00;11:50;02:50;;
SBBR;SBCF;09:20;10:45;01:25;;
SBBR;SBGO;09:20;10:15;00:55;;
SBBR;SBEG;20:50;23:50;03:00;;
SBBR;SBGR;06:05;08:05;02:00;;
SBBR;SBGR;10:35;12:15;01:40;;
SBBR;SBRF;20:45;23:25;02:40;;
SBBR;SBCY;21:40;23:35;01:55;;
SBBR;SBSV;22:00;23:50;01:50;;
SBBR;SBBE;08:40;11:20;02:40;;
SBBR;SBRF;09:00;11:45;02:45;;
SBBR;SBCF;09:15;10:40;01:25;;
SBBR;SBGL;09:25;11:15;01:50;;
SBBR;SBSP;09:25;11:20;01:55;;
SBBR;MMUN;11:55;20:00;08:05;;
SBBR;SBCT;12:05;14:05;02:00;;
SBBR;SBSV;15:00;17:00;02:00;;
SBBR;SBMO;16:50;19:15;02:25;;
SBBR;SBGL;17:30;19:20;01:50;;
SBBR;SBSP;17:35;19:25;01:50;;
SBBR;SBJP;21:00;23:45;02:45;;
SBBR;SBMO;21:00;23:25;02:25;;
SBBR;SBAR;22:00;00:15;02:15;;
SBBR;SBRF;22:15;01:00;02:45;;
SBBR;SBGL;06:15;08:05;01:50;;
SBBR;SBSP;08:50;10:45;01:55;;
SBBR;SBGR;10:35;12:10;01:35;;
SBBR;SBSV;21:00;23:00;02:00;;
SBBR;SBFZ;07:40;10:15;02:35;;
SBBR;SAEZ;08:40;12:15;03:35;;
SBBR;MMUN;11:30;19:35;08:05;;
SBBR;SBTE;22:40;00:55;02:15;;
SBBR;SBCF;20:55;22:25;01:30;;
SBBR;SBPA;20:30;23:15;02:45;;
SBBR;SBSV;22:15;00:05;01:50;;
SBBR;SBPJ;20:45;22:05;01:20;;
SBBR;SBRF;20:55;23:40;02:45;;
SBBR;SBCT;08:35;10:35;02:00;;
SBBR;SBSP;09:15;11:10;01:55;;
SBBR;SBEG;08:50;11:55;03:05;;
SBBR;SBSV;08:55;10:55;02:00;;
SBBR;SBMO;09:00;11:25;02:25;;
SBBR;SBSP;09:15;11:00;01:45;;
SBBR;MMUN;12:05;20:00;07:55;;
SBBR;SBPA;08:45;11:25;02:40;;
SBBR;SBSG;21:00;23:45;02:45;;
SBBR;SBJP;21:20;00:05;02:45;;
SBBR;SBGR;06:15;08:05;01:50;;
SBBR;MMUN;11:40;19:35;07:55;;
SBBR;SBGL;06:50;08:40;01:50;;
SBBR;SBCY;08:00;09:55;01:55;;
SBBR;SBSP;09:05;11:00;01:55;;
SBBR;SBGR;11:35;13:20;01:45;;
SBCA;SBGR;11:25;13:00;01:35;;
SBCA;SBGR;11:35;13:10;01:35;;
SBCF;SAEZ;10:00;13:20;03:20;;
SBCF;SBGL;10:20;11:30;01:10;;
SBCF;SBSP;10:20;11:40;01:20;;
SBCF;SBGR;10:55;12:15;01:20;;
SBCF;SBSP;14:05;15:30;01:25;;
SBCF;SBGR;15:05;16:25;01:20;;
SBCF;SBGL;16:30;17:35;01:05;;
SBCF;SBSP;16:30;17:55;01:25;;
SBCF;SBGL;17:55;19:00;01:05;;
SBCF;SBSP;18:15;19:45;01:30;;
SBCF;SBSP;19:10;20:40;01:30;;
SBCF;SBGR;19:15;20:35;01:20;;
SBCF;SBGL;19:50;20:55;01:05;;
SBCF;SBGR;06:25;07:50;01:25;;
SBCF;SBBR;06:35;07:55;01:20;;
SBCF;SBGR;09:50;11:10;01:20;;
SBCF;SBSV;11:05;12:50;01:45;;
SBCF;SBSP;11:10;12:30;01:20;;
SBCF;SBSV;15:40;17:25;01:45;;
SBCF;SBSP;08:15;09:40;01:25;;
SBCF;SBSP;09:00;10:30;01:30;;
SBCF;SBGR;10:05;11:25;01:20;;
SBCF;SBSV;11:50;13:35;01:45;;
SBCF;SBSP;17:10;18:40;01:30;;
SBCF;SBGR;18:50;20:10;01:20;;
SBCF;SBMO;20:15;22:35;02:20;;
SBCF;SBGL;09:55;11:05;01:10;;
SBCF;SBMO;10:20;12:35;02:15;;
SBCF;SBPS;11:10;12:30;01:20;;
SBCF;SBPS;12:35;14:00;01:25;;
SBCF;SBSV;15:45;17:30;01:45;;
SBCF;SBFZ;17:00;19:50;02:50;;
SBCF;SBPS;19:15;20:35;01:20;;
SBCF;SBSP;20:40;22:10;01:30;;
SBCF;SBPS;06:40;08:00;01:20;;
SBCF;SBSP;07:50;09:15;01:25;;
SBCF;SBPS;08:10;09:30;01:20;;
SBCF;SBPS;08:40;10:00;01:20;;
SBCF;SBGR;10:15;11:35;01:20;;
SBCF;SBPS;12:10;13:30;01:20;;
SBCF;SBMO;12:30;14:45;02:15;;
SBCF;SBSP;17:25;18:55;01:30;;
SBCF;SBSP;18:25;19:55;01:30;;
SBCF;SBPS;20:50;22:15;01:25;;
SBCF;SBGR;06:50;08:15;01:25;;
SBCF;SBSP;17:00;18:30;01:30;;
SBCF;SBPS;11:05;12:30;01:25;;
SBCF;SBGR;19:10;20:30;01:20;;
SBCF;SBGL;10:35;11:45;01:10;;
SBCF;SBBR;18:30;19:50;01:20;;
SBCF;SBBR;20:35;21:55;01:20;;
SBCF;SBGL;23:05;00:10;01:05;;
SBCF;SBGR;09:40;11:00;01:20;;
SBCF;SBCJ;11:30;14:00;02:30;;
SBCF;SBEG;11:10;14:55;03:45;;
SBCF;SBSP;16:05;17:30;01:25;;
SBCF;SBGR;10:10;11:30;01:20;;
SBCF;SBBR;06:45;08:00;01:15;;
SBCF;SBGR;10:00;11:20;01:20;;
SBCF;SBPS;12:05;13:30;01:25;;
SBCF;SBSP;19:00;20:30;01:30;;
SBCF;SBMO;19:10;21:30;02:20;;
SBCF;SBSP;09:40;11:10;01:30;;
SBCF;SBSP;17:05;18:35;01:30;;
SBCF;SBGR;19:00;20:20;01:20;;
SBCF;SBRF;20:10;22:40;02:30;;
SBCF;SBGR;09:55;11:15;01:20;;
SBCG;SBGR;12:10;13:55;01:45;;
SBCG;SBSP;13:15;14:55;01:40;;
SBCG;SBGR;21:15;23:05;01:50;;
SBCG;SBGR;20:20;22:00;01:40;;
SBCG;SBGR;11:45;13:30;01:45;;
SBCG;SBSP;13:20;15:00;01:40;;
SBCG;SBSP;16:10;17:55;01:45;;
SBCG;SBGR;20:25;22:05;01:40;;
SBCG;SBSP;15:45;17:30;01:45;;
SBCG;SBGR;21:30;23:20;01:50;;
SBCH;SBSP;15:15;16:50;01:35;;
SBCH;SBSP;15:15;17:00;01:45;;
SBCH;SBSP;15:25;17:05;01:40;;
SBCJ;SBCF;14:40;17:10;02:30;;
SBCN;SBSP;13:25;14:55;01:30;;
SBCN;SBSP;13:05;14:40;01:35;;
SBCN;SBSP;12:50;14:25;01:35;;
SBCN;SBSP;12:55;14:25;01:30;;
SBCT;SBSP;09:50;11:00;01:10;;
SBCT;SBSP;10:45;11:55;01:10;;
SBCT;SBGR;11:05;12:15;01:10;;
SBCT;SBGL;11:20;12:40;01:20;;
SBCT;SBSP;12:25;13:35;01:10;;
SBCT;SBSP;18:05;19:25;01:20;;
SBCT;SBBR;18:10;20:10;02:00;;
SBCT;SBGL;18:45;20:10;01:25;;
SBCT;SBGR;19:30;20:40;01:10;;
SBCT;SBSP;21:00;22:10;01:10;;
SBCT;SBBR;06:05;08:00;01:55;;
SBCT;SBGR;06:40;07:50;01:10;;
SBCT;SBSP;18:15;19:35;01:20;;
SBCT;SBSP;09:00;10:05;01:05;;
SBCT;SBGR;11:15;12:25;01:10;;
SBCT;SBBR;14:50;16:45;01:55;;
SBCT;SBGL;17:50;19:15;01:25;;
SBCT;SBGR;19:15;20:30;01:15;;
SBCT;SBGL;19:30;20:55;01:25;;
SBCT;SBMG;22:05;23:10;01:05;;
SBCT;SBGR;11:10;12:20;01:10;;
SBCT;SBSP;18:30;19:45;01:15;;
SBCT;SBSP;18:20;19:45;01:25;;
SBCT;SBSP;19:10;20:25;01:15;;
SBCT;SBSP;18:10;19:25;01:15;;
SBCT;SBSP;18:40;19:55;01:15;;
SBCT;SBGR;10:00;11:10;01:10;;
SBCT;SBGR;10:15;11:25;01:10;;
SBCX;SBSP;13:50;15:25;01:35;;
SBCX;SBSP;16:35;18:10;01:35;;
SBCX;SBSP;20:30;22:05;01:35;;
SBCY;SBGR;12:30;14:55;02:25;;
SBCY;SBGR;05:25;07:45;02:20;;
SBCY;SBBR;06:00;07:40;01:40;;
SBCY;SBGR;11:45;14:15;02:30;;
SBCY;SBGR;11:55;14:20;02:25;;
SBCY;SBGR;10:50;12:45;01:55;;
SBCY;SBGR;05:50;08:10;02:20;;
SBCY;SBGR;10:50;12:50;02:00;;
SBCY;SBGR;10:40;12:45;02:05;;
SBCY;SBGR;05:30;07:45;02:15;;
SBCY;SBGR;12:05;14:15;02:10;;
SBCZ;SBRB;14:40;15:55;01:15;;
SBDB;SBSP;14:05;15:55;01:50;;
SBDB;SBSP;13:45;15:40;01:55;;
SBDB;SBSP;14:00;15:55;01:55;;
SBDN;SBSP;14:30;15:50;01:20;;
SBDN;SBSP;14:05;15:25;01:20;;
SBEG;KMIA;14:00;20:15;06:15;;
SBEG;SBGR;17:50;21:45;03:55;;
SBEG;SBSN;12:45;13:55;01:10;;
SBEG;SBRB;14:00;16:00;02:00;;
SBEG;SBBR;16:50;19:45;02:55;;
SBEG;SBGR;18:05;22:05;04:00;;
SBEG;SBRB;14:05;16:00;01:55;;
SBEG;SBRB;14:00;15:55;01:55;;
SBEG;SBGR;17:55;21:55;04:00;;
SBEG;SBBR;16:45;19:40;02:55;;
SBEG;KMCO;06:50;13:00;06:10;;
SBEG;SBGR;15:25;19:20;03:55;;
SBEG;KMCO;17:10;23:20;06:10;;
SBEG;SBSN;12:35;13:50;01:15;;
SBEG;SBGR;15:25;19:25;04:00;;
SBEG;SBBR;16:45;19:45;03:00;;
SBEG;SBGL;09:35;13:40;04:05;;
SBEG;SBBR;16:40;19:40;03:00;;
SBFI;SBGL;10:55;13:00;02:05;;
SBFI;SBGR;11:35;13:15;01:40;;
SBFI;SBSP;14:05;15:55;01:50;;
SBFI;SBGL;17:20;19:15;01:55;;
SBFI;SBGR;06:25;08:05;01:40;;
SBFI;SBSP;09:55;11:50;01:55;;
SBFI;SBGR;06:20;08:00;01:40;;
SBFI;SBSP;09:50;11:40;01:50;;
SBFI;SBGL;17:20;19:20;02:00;;
SBFI;SBGR;19:25;21:10;01:45;;
SBFI;SBSP;09:00;10:45;01:45;;
SBFI;SBGL;14:45;16:50;02:05;;
SBFI;SBGR;20:00;21:50;01:50;;
SBFI;SBSP;09:35;11:20;01:45;;
SBFI;SBGR;20:10;21:50;01:40;;
SBFI;SBGL;10:55;12:55;02:00;;
SBFI;SBGR;06:45;08:25;01:40;;
SBFI;SBSP;10:00;11:50;01:50;;
SBFI;SBSP;09:50;11:45;01:55;;
SBFI;SBGL;17:35;19:30;01:55;;
SBFI;SBGL;10:50;12:55;02:05;;
SBFI;SBGR;20:15;21:50;01:35;;
SBFI;SBGR;20:10;22:05;01:55;;
SBFI;SBGR;20:10;22:00;01:50;;
SBFI;SBSP;13:50;15:35;01:45;;
SBFI;SBGR;20:00;21:55;01:55;;
SBFL;SBSP;08:10;09:25;01:15;;
SBFL;SBSP;09:50;11:05;01:15;;
SBFL;SBGL;10:05;11:35;01:30;;
SBFL;SBGR;11:10;12:35;01:25;;
SBFL;SBSP;12:15;13:20;01:05;;
SBFL;SBSP;15:30;16:40;01:10;;
SBFL;SBGL;17:40;19:05;01:25;;
SBFL;SBSP;18:35;19:50;01:15;;
SBFL;SBGR;19:35;21:00;01:25;;
SBFL;SBSP;20:15;21:30;01:15;;
SBFL;SBGL;06:35;08:05;01:30;;
SBFL;SBSP;11:55;13:10;01:15;;
SBFL;SBSP;18:35;19:55;01:20;;
SBFL;SBSP;19:35;20:50;01:15;;
SBFL;SBGL;09:55;11:25;01:30;;
SBFL;SBSP;10:45;12:00;01:15;;
SBFL;SBGR;11:20;12:45;01:25;;
SBFL;SABE;13:05;15:30;02:25;;
SBFL;SAEZ;13:20;15:50;02:30;;
SBFL;SBSP;14:55;16:10;01:15;;
SBFL;SAEZ;15:50;18:20;02:30;;
SBFL;SBSP;18:30;19:50;01:20;;
SBFL;SAEZ;19:30;21:50;02:20;;
SBFL;SBGR;19:40;21:05;01:25;;
SBFL;SBGR;06:30;07:55;01:25;;
SBFL;SBSP;09:40;10:55;01:15;;
SBFL;SBSP;12:10;13:25;01:15;;
SBFL;SBSP;13:40;14:55;01:15;;
SBFL;SBSP;14:15;15:30;01:15;;
SBFL;SBSP;15:40;16:55;01:15;;
SBFL;SBSP;18:20;19:40;01:20;;
SBFL;SBGR;19:15;20:40;01:25;;
SBFL;SBSP;15:50;17:05;01:15;;
SBFL;SBGR;06:15;07:35;01:20;;
SBFL;SBSP;12:35;13:40;01:05;;
SBFL;SBSP;15:45;17:00;01:15;;
SBFL;SBGL;17:40;19:10;01:30;;
SBFL;SBGR;19:05;20:30;01:25;;
SBFL;SBGR;06:20;07:45;01:25;;
SBFL;SAEZ;13:20;15:40;02:20;;
SBFL;SBGR;10:10;11:35;01:25;;
SBFL;SAEZ;22:00;00:20;02:20;;
SBFL;SBGL;21:20;22:50;01:30;;
SBFL;SBGL;06:55;08:20;01:25;;
SBFL;SBGL;06:00;07:30;01:30;;
SBFL;SBGL;07:00;08:30;01:30;;
SBFL;SBGL;06:30;08:00;01:30;;
SBFL;SBSP;19:40;20:50;01:10;;
SBFL;SABE;17:10;19:30;02:20;;
SBFL;SBGR;06:15;07:40;01:25;;
SBFZ;KMIA;04:40;12:30;07:50;;
SBFZ;SBGL;11:40;15:00;03:20;;
SBFZ;SBGR;13:05;16:45;03:40;;
SBFZ;SBSP;14:15;18:00;03:45;;
SBFZ;SBGL;16:05;19:25;03:20;;
SBFZ;SBBR;17:20;20:05;02:45;;
SBFZ;SBGR;17:40;21:15;03:35;;
SBFZ;KMCO;04:30;12:05;07:35;;
SBFZ;SBSP;04:35;08:30;03:55;;
SBFZ;SBGR;04:40;08:15;03:35;;
SBFZ;SBSV;12:05;13:55;01:50;;
SBFZ;SBGR;12:55;16:30;03:35;;
SBFZ;SBGR;21:20;00:55;03:35;;
SBFZ;SBGR;04:35;08:10;03:35;;
SBFZ;SBSP;04:45;08:30;03:45;;
SBFZ;SBGR;12:15;15:45;03:30;;
SBFZ;SBGR;04:30;08:05;03:35;;
SBFZ;SBGR;12:45;16:25;03:40;;
SBFZ;SAEZ;13:40;19:25;05:45;;
SBFZ;SBGL;15:55;19:15;03:20;;
SBFZ;SBSP;16:55;20:40;03:45;;
SBFZ;SAEZ;17:45;23:30;05:45;;
SBFZ;SBCF;20:30;23:20;02:50;;
SBFZ;SBSP;04:00;07:50;03:50;;
SBFZ;SBSP;04:40;08:30;03:50;;
SBFZ;SBGR;12:30;16:10;03:40;;
SBFZ;SBSP;15:00;18:45;03:45;;
SBFZ;SBGR;17:30;21:05;03:35;;
SBFZ;SBBR;21:20;00:05;02:45;;
SBFZ;SBGL;10:15;13:35;03:20;;
SBFZ;SBGR;11:25;14:55;03:30;;
SBFZ;SBGR;12:30;15:55;03:25;;
SBFZ;SBGR;17:35;21:10;03:35;;
SBFZ;SBGR;13:10;16:50;03:40;;
SBFZ;SBGR;11:20;14:50;03:30;;
SBGL;SBNF;07:20;08:55;01:35;;
SBGL;SBSG;07:35;10:40;03:05;;
SBGL;SBFZ;07:45;11:00;03:15;;
SBGL;SBKP;07:45;08:55;01:10;;
SBGL;SBCF;07:50;09:00;01:10;;
SBGL;SBAR;08:00;10:20;02:20;;
SBGL;SBCF;08:30;09:40;01:10;;
SBGL;SBVT;10:55;12:05;01:10;;
SBGL;SBGR;11:30;12:35;01:05;;
SBGL;SBSV;11:30;13:30;02:00;;
SBGL;SBSG;11:45;14:50;03:05;;
SBGL;SBPA;12:10;14:20;02:10;;
SBGL;SBFZ;12:15;15:25;03:10;;
SBGL;SBSP;13:10;14:30;01:20;;
SBGL;SBMO;13:20;16:00;02:40;;
SBGL;SBNF;13:40;15:15;01:35;;
SBGL;SAEZ;14:10;17:40;03:30;;
SBGL;SBBR;14:35;16:30;01:55;;
SBGL;SBCF;14:40;15:50;01:10;;
SBGL;SBSV;14:45;16:50;02:05;;
SBGL;SBRF;15:15;18:05;02:50;;
SBGL;SBFL;15:20;17:00;01:40;;
SBGL;SBCT;15:55;17:25;01:30;;
SBGL;SBSV;16:05;18:10;02:05;;
SBGL;SBVT;16:35;17:45;01:10;;
SBGL;SBVT;17:45;18:55;01:10;;
SBGL;SBCF;18:05;19:10;01:05;;
SBGL;SBGR;18:15;19:30;01:15;;
SBGL;SBGR;19:30;20:50;01:20;;
SBGL;SBSP;20:20;21:40;01:20;;
SBGL;SBFI;21:00;23:20;02:20;;
SBGL;SBSV;21:00;23:05;02:05;;
SBGL;SBBR;21:05;22:50;01:45;;
SBGL;SBGR;21:20;22:35;01:15;;
SBGL;SBFL;21:35;23:15;01:40;;
SBGL;SBVT;21:35;22:45;01:10;;
SBGL;SBCT;21:50;23:25;01:35;;
SBGL;SBPA;22:45;01:00;02:15;;
SBGL;SBGR;06:20;07:35;01:15;;
SBGL;SBMO;06:30;09:00;02:30;;
SBGL;SBVT;07:00;08:10;01:10;;
SBGL;SBJP;07:20;10:20;03:00;;
SBGL;SBFL;07:30;09:10;01:40;;
SBGL;SBAR;07:45;10:05;02:20;;
SBGL;SBRF;08:05;10:55;02:50;;
SBGL;SBCT;08:30;10:05;01:35;;
SBGL;SBSV;08:45;10:50;02:05;;
SBGL;SBBR;08:50;10:40;01:50;;
SBGL;SBCF;09:00;10:10;01:10;;
SBGL;SBSP;09:00;10:15;01:15;;
SBGL;SBGR;11:25;12:35;01:10;;
SBGL;SBSV;11:30;13:35;02:05;;
SBGL;SBSP;12:55;14:15;01:20;;
SBGL;SBAR;13:40;16:00;02:20;;
SBGL;SBPA;14:20;16:30;02:10;;
SBGL;SBSJ;18:05;19:10;01:05;;
SBGL;SBGR;19:15;20:35;01:20;;
SBGL;SBFZ;21:00;00:15;03:15;;
SBGL;SBSV;22:45;00:50;02:05;;
SBGL;SBFI;07:55;10:10;02:15;;
SBGL;SBNF;08:00;09:40;01:40;;
SBGL;SBSV;08:10;10:15;02:05;;
SBGL;SBSG;13:40;16:45;03:05;;
SBGL;SBBR;21:05;22:45;01:40;;
SBGL;SBMO;06:10;08:45;02:35;;
SBGL;SBGR;06:35;07:55;01:20;;
SBGL;SBFL;07:35;09:15;01:40;;
SBGL;SBPA;07:45;09:45;02:00;;
SBGL;SBRF;07:50;10:40;02:50;;
SBGL;SBCF;08:05;09:15;01:10;;
SBGL;SBBR;08:25;10:15;01:50;;
SBGL;SBSV;08:45;10:40;01:55;;
SBGL;SBCF;09:10;10:20;01:10;;
SBGL;SBVT;11:30;12:40;01:10;;
SBGL;SBRF;12:00;14:50;02:50;;
SBGL;SBFZ;12:05;15:15;03:10;;
SBGL;SBSP;13:05;14:25;01:20;;
SBGL;SBKP;14:55;16:15;01:20;;
SBGL;SBRF;15:00;17:50;02:50;;
SBGL;SBCT;15:40;17:10;01:30;;
